date,subscribers,reviews
2019/10/9,5166,637
2019/10/10,5167,639
2019/10/11,5168,641
2019/10/12,5169,644
2019/10/13,5170,646
2019/10/14,5170,649
2019/10/15,5179,651
2019/10/16,5185,651
2019/10/17,5187,652
2019/10/18,5189,653
2019/10/19,5191,654
2019/10/20,5193,655
2019/10/21,5194,656
2019/10/22,5197,658
2019/10/23,5210,659
2019/10/24,5223,663
2019/10/25,5232,663
2019/10/26,5233,664
2019/10/27,5234,665
2019/10/28,5236,666
2019/10/29,5240,670
2019/10/30,5242,671
2019/10/31,5243,671
2019/11/1,5244,674
2019/11/2,5246,674
2019/11/3,5246,676
2019/11/4,5247,676
2019/11/6,5269,679
2019/11/7,5284,681
2019/11/8,5298,683
2019/11/9,5307,684
2019/11/10,5313,687
2019/11/11,5314,687
2019/11/12,5314,688
2019/11/13,5316,689
2019/11/14,5326,691
2019/11/15,5337,691
2019/11/16,5338,692
2019/11/17,5342,692
2019/11/18,5343,695
2019/11/19,5347,697
2019/11/20,5348,697
2019/11/21,5351,700
2019/11/22,5356,700
2019/11/23,5383,700
2019/11/24,5409,704
2019/11/25,5435,709
2019/11/26,5450,714
2019/11/27,5479,714
2019/11/28,5503,715
2019/11/29,5554,716
2019/11/30,5643,718
2019/12/1,5652,720
2019/12/2,5654,723
2019/12/3,5678,723
2019/12/4,5706,723
2019/12/5,5747,726
2019/12/6,5802,728
2019/12/7,5807,728
2019/12/8,5811,732
2019/12/9,5811,732
2019/12/10,5813,735
2019/12/11,5819,735
2019/12/12,5825,737
2019/12/13,5830,739
2019/12/14,5833,739
2019/12/15,5837,740
2019/12/16,5839,742
2019/12/17,5840,744
2019/12/18,5846,745
2019/12/19,5847,745
2019/12/20,5849,746
2019/12/21,5850,746
2019/12/22,5852,746
2019/12/23,5870,747
2019/12/24,5878,748
2019/12/25,5888,748
2019/12/26,5906,749
2019/12/27,5927,749
2019/12/28,5930,749
2019/12/29,5933,750
2019/12/30,5936,752
2019/12/31,5937,753
2020/1/1,5964,760
2020/1/2,5989,764
2020/1/3,5999,768
2020/1/4,6011,768
2020/1/5,6023,771
2020/1/6,6042,772
2020/1/7,6060,776
2020/1/8,6089,778
2020/1/9,6121,780
2020/1/10,6174,781
2020/1/11,6178,782
2020/1/12,6182,784
2020/1/13,6188,784
2020/1/14,6191,788
2020/1/15,6193,792
2020/1/16,6196,793
2020/1/17,6201,793
2020/1/18,6200,795
2020/1/19,6204,797
2020/1/20,6206,801
2020/1/21,6212,803
2020/1/22,6213,806
2020/1/23,6215,808
2020/1/24,6219,808
2020/1/25,6222,811
2020/1/26,6223,811
2020/1/27,6224,811
2020/1/28,6229,812
2020/1/29,6248,812
2020/1/30,6281,813
2020/1/31,6286,816
2020/2/1,6291,820
2020/2/2,6294,820
2020/2/3,6299,820
2020/2/4,6310,821
2020/2/5,6319,824
2020/2/6,6337,827
2020/2/7,6352,829
2020/2/8,6353,833
2020/2/9,6356,834
2020/2/10,6359,836
2020/2/11,6361,843
2020/2/12,6366,845
2020/2/13,6370,848
2020/2/14,6387,852
